City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kelso,46.1468,-122.9084,38.62,90,100,7.0,US,1705686081
1,Susuman,62.7833,148.1667,-29.02,98,82,1.01,RU,1705686081
2,Jamestown,42.097,-79.2353,26.24,83,100,6.91,US,1705685815
3,Waitangi,-43.9535,-176.5597,65.82,93,64,8.99,NZ,1705686082
4,Chibougamau,49.9168,-74.3659,-4.38,77,100,11.5,CA,1705686082
5,Menongue,-14.6585,17.691,66.54,85,83,5.14,AO,1705686082
6,Vorkuta,67.5,64.0,7.74,84,100,25.08,RU,1705686082
7,Port-Aux-Francais,-49.35,70.2167,43.74,86,100,20.76,TF,1705686083
8,Bilibino,68.0546,166.4372,5.07,96,100,3.47,RU,1705686083
9,Gadzhiyevo,69.2551,33.3362,18.48,83,100,7.05,RU,1705686083
10,Xianshuigu,38.985,117.3828,28.4,43,0,8.95,CN,1705686083
11,Port Elizabeth,-33.918,25.5701,74.1,79,0,20.71,ZA,1705686084
12,Alo,7.4178,6.7371,86.5,15,0,3.31,NG,1705686084
13,Manakara,-22.1333,48.0167,77.02,89,100,2.3,MG,1705686084
14,Alesund,62.4723,6.1549,32.32,84,75,5.75,NO,1705686084
15,Margaret River,-33.95,115.0667,58.5,94,5,7.31,AU,1705686085
16,Ouani,-12.1322,44.4258,81.32,81,95,13.24,KM,1705686085
17,Ilulissat,69.2167,-51.1,14.02,73,75,6.91,GL,1705686086
18,Vylkove,45.4021,29.586,43.18,85,75,5.5,UA,1705686086
19,Blackmans Bay,-43.0167,147.3167,54.73,86,99,2.95,AU,1705686086
20,Hadibu,12.65,54.0333,76.23,70,0,13.22,YE,1705686086
21,Matiri,-10.75,34.9,65.37,85,66,2.26,TZ,1705686087
22,Chernyshevskiy,63.0128,112.4714,-47.27,100,74,2.24,RU,1705686087
23,Grytviken,-54.2811,-36.5092,41.34,95,98,1.97,GS,1705686087
24,Ati,13.2154,18.3353,75.61,9,18,9.1,TD,1705686087
25,Coyhaique,-45.5752,-72.0662,66.81,36,20,10.36,CL,1705686088
26,Olonkinbyen,70.9221,-8.7187,24.94,60,42,10.96,SJ,1705686088
27,Mugia,43.1041,-9.2179,48.9,64,14,23.47,ES,1705686088
28,Narvik,68.4384,17.4272,11.61,81,29,6.35,NO,1705686089
29,Port Mathurin,-19.6833,63.4167,81.88,80,46,15.14,MU,1705686089
30,Kourou,5.1552,-52.6478,82.45,67,16,11.65,GF,1705686089
31,Puerto Baquerizo Moreno,-0.9,-89.6,85.19,79,20,13.8,EC,1705686089
32,West Island,-12.1568,96.8225,82.38,89,40,10.36,CC,1705686090
33,Camapua,-19.5314,-54.0439,82.76,63,50,12.97,BR,1705686090
34,Longyearbyen,78.2186,15.6401,-0.56,60,0,14.97,SJ,1705686090
35,Opuwo,-18.0607,13.84,81.84,32,27,13.38,NA,1705686090
36,Hermanus,-34.4187,19.2345,78.84,50,1,11.25,ZA,1705686091
37,Khandyga,62.6667,135.6,-57.75,100,78,1.88,RU,1705686091
38,Kenai,60.5544,-151.2583,3.09,82,0,6.91,US,1705686091
39,Dauphin,51.1494,-100.0502,5.14,72,100,10.36,CA,1705686091
40,Ketchikan,55.3422,-131.6461,36.07,64,100,4.61,US,1705685795
41,Tralee,52.2704,-9.7026,41.16,73,100,12.59,IE,1705685945
42,Puerto Ayora,-0.7393,-90.3518,85.96,89,85,5.99,EC,1705686092
